module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Manticore,_meta,,,,,,,,,false,https://github.com/bmad-code-org/bmad-manticore,
BMad Manticore,mc-agent,Talk to Manny,MM,"Manny the Manticore, the studio front door: onboarding, ideas into projects, footage-first arrivals, routing, craft coaching. Start here when unsure.",,,anytime,,,false,,
BMad Manticore,mc-setup,Studio Setup,SU,"First-run and any-time configuration: dependency checks, the onboarding interview (render consent, video style, CTAs, audio lanes), brand and voice-bible builds, tool registration, 0.x migration. Everything else routes here until the studio config exists.",,,anytime,,,true,_bmad/custom,config.toml
BMad Manticore,mc-pipeline,Pipeline Status,GO,"Where is my project, what's next, route to the right stage. The master stage/gate contract; always the source of truth for project state.",,,anytime,,,false,projects-path,*/project.json
BMad Manticore,mc-new,New Project,NP,"Scaffold a project from a format profile: idea-first, or footage-first ingest for an existing recording or livestream VOD (post-production stage list starting at cut). Series and deadline modes.",,,anytime,,mc-braindump,false,projects-path,*/project.json
BMad Manticore,mc-braindump,Braindump,BD,"Interview that captures the idea in the creator's exact words, verbatim. Camera-rolling mode turns the interview itself into usable footage.",,,1-write,mc-new,mc-outline,false,projects-path,*/braindump*
BMad Manticore,mc-outline,Outline,OL,"3 hooks plus one outline plus the packaging promise. GATE 1: hard stop for creator approval. Footage-first projects skip the write phase entirely.",,,1-write,mc-braindump,mc-script,false,projects-path,*/outline.md
BMad Manticore,mc-script,Script,SC,"Weave the script from the creator's own braindump words, lint against the blacklist, craft QA. The creator records it however they always record.",,,1-write,mc-outline,mc-cut,false,projects-path,*/script.md
BMad Manticore,mc-cut,Cut,CT,"Word-level transcript, cut plan with taste calls. GATE 2: hard stop. Every approval produces a preview render and the editor timeline export; the final-quality render is offered at gate 4.",,,2-cut,mc-script,mc-beats,true,projects-path,*/cut/edl.json
BMad Manticore,mc-beats,Graphics Beats,BT,"Riff treatment ideas with the creator, then the beat table anchored to spoken words under creativity mandates and the density tier, with the CTA placement pass. GATE 3: hard stop.",,,3-graphics,mc-cut,mc-graphics,false,projects-path,*/beats/beats.md
BMad Manticore,mc-graphics,Build Graphics,GX,"Execute the approved beat table in HyperFrames / Remotion / HTML / design-prompting; frame-verified alpha overlays plus an editor HANDOFF.",,,3-graphics,mc-beats,mc-assets,false,projects-path,*/graphics/*
BMad Manticore,mc-assets,Farm Assets,FA,"Source and farm the stills and b-roll the beat table calls for through registered CLI tools (metered APIs opt-in), real verified imagery first.",,,3-graphics,mc-beats,mc-package,false,projects-path,*/assets/manifest.json
BMad Manticore,mc-audio,Farm Sound,AU,"Service skill, no stage or gate: local-first TTS narration and two-host dialogue (Kokoro-82M), instrumental beds (MusicGen-small), SFX (AudioLDM2). Called from graphics, stream packs, and voiceover narration, or directly.",,,anytime,,,false,,*/manifest.json
BMad Manticore,mc-ograf,OGraf Graphics,OG,"Service skill: editable broadcast graphics where the target supports them (DaVinci Resolve 21+ editor lane, OBS/SPX-GC live lane). Everyone else gets baked alpha.",,,anytime,,,false,,
BMad Manticore,mc-package,Package,PK,"Titles, thumbnails verified at 120px, description, CTAs, dual-timeline chapters, SRT/VTT captions and a publishable transcript from the edited timeline, series A/B pairs, live-event mode. May start any time after gate 1; offer it during dead time between stages.",,,4-package,mc-outline,mc-retro,false,projects-path,*/packaging/*
BMad Manticore,mc-stream-pack,Stream Pack,LS,"A complete branded livestream asset pack for OBS (scenes, stinger, lower thirds) from brand tokens; the livestream-pack format lane.",,,anytime,,,false,projects-path,*/graphics/scenes/*
BMad Manticore,mc-retro,Retro,RT,"After publishing: one round of notes edits the format profile, the bibles, and the brand files so the next video starts smarter, then the post-publish wrap.",,,5-wrap,mc-package,,false,brand-path,production-bible.md
